date,open,high,low,close,volume,amount
2023-05-29,314.000,314.000,298.000,300.000,28838839,9139977216.000
2023-05-30,298.600,305.000,294.400,303.000,21736553,6812911104.000
2023-05-31,301.400,301.400,292.800,297.400,32131907,9981997824.000
2023-06-01,299.400,310.200,298.000,302.200,22951704,7292374016.000
2023-06-02,314.400,321.000,310.200,321.000,32055423,10589659648.000
2023-06-05,322.800,325.600,316.800,325.000,19890895,6676336640.000
2023-06-06,324.800,326.000,315.800,318.000,16700158,5572482304.000
2023-06-07,326.800,326.800,321.400,322.400,18254900,6159602688.000
2023-06-08,319.600,322.000,315.000,321.600,13133723,4361434880.000
2023-06-09,323.200,326.800,320.600,322.800,16184167,5451644928.000
2023-06-12,326.800,326.800,321.000,325.200,13488760,4557765632.000
2023-06-13,326.400,335.200,324.800,331.600,23119808,7957106176.000
2023-06-14,333.400,340.200,330.800,332.400,22081967,7691036416.000
2023-06-15,339.800,341.800,334.800,341.800,25008358,8813278464.000
2023-06-16,345.800,351.200,342.600,349.800,35853943,12946981888.000
2023-06-19,346.400,346.800,337.200,344.000,20273905,7189369344.000
2023-06-20,340.800,346.000,334.000,336.800,16283873,5713762048.000
2023-06-21,328.400,332.800,323.800,327.200,19304438,6568809216.000
2023-06-23,326.800,327.600,319.800,323.800,13898721,4679575040.000
2023-06-26,322.400,326.200,317.000,319.600,18157220,6064114688.000
2023-06-27,319.600,331.200,319.600,328.200,17490624,5959539712.000
2023-06-28,326.800,327.800,320.600,323.000,15887756,5353376000.000
2023-06-29,325.800,325.800,318.000,320.400,13517437,4513065472.000
2023-06-30,317.800,320.600,316.200,318.400,16197039,5367017472.000
2023-07-03,318.600,326.800,318.600,324.800,14198462,4784258560.000
2023-07-04,323.200,328.000,323.000,326.000,9439642,3197624160.000
2023-07-05,326.600,327.800,320.000,322.200,9861945,3314699536.000
2023-07-06,319.000,323.800,312.200,313.600,19781825,6504989696.000
2023-07-07,310.000,318.400,306.800,313.400,21595356,7015522304.000
2023-07-10,320.600,322.600,314.200,315.600,17287899,5712851200.000
2023-07-11,319.400,322.400,317.000,320.600,12361269,4120721936.000
2023-07-12,325.400,327.800,322.600,326.800,16847310,5716051712.000
2023-07-13,336.800,337.400,333.800,336.600,27315463,9530812928.000
2023-07-14,341.600,341.600,335.600,339.400,21213481,7461794560.000
2023-07-18,338.600,338.600,321.800,323.200,29147987,9911757056.000
2023-07-19,317.400,320.600,313.800,319.800,21913296,7240460800.000
2023-07-20,322.800,328.600,317.400,319.600,16564481,5556791296.000
2023-07-21,319.600,324.200,317.800,319.800,11843920,3952114064.000
2023-07-24,315.400,317.800,310.600,311.800,17451591,5702816768.000
2023-07-25,323.800,332.400,321.800,331.800,29203653,9931910144.000
2023-07-26,331.600,331.600,325.000,327.800,14941840,5092535296.000
2023-07-27,332.800,333.200,327.200,330.600,13651548,4698584320.000
2023-07-28,330.600,338.800,325.400,337.200,22244305,7739027968.000
2023-07-31,346.800,349.800,337.600,341.200,36796567,13119804928.000
2023-08-01,342.800,347.800,334.000,340.800,23436211,8303605248.000
2023-08-02,338.400,339.200,327.000,330.200,21038298,7251316736.000
2023-08-03,328.800,334.600,325.800,329.000,16661383,5745551360.000
2023-08-04,335.400,337.400,326.000,330.200,19099499,6574571008.000
2023-08-07,327.000,328.600,324.800,328.000,9480118,3221321552.000
2023-08-08,321.200,324.000,320.200,321.600,15381749,5149851648.000
2023-08-09,319.800,325.000,318.800,324.000,11917732,3989808432.000
2023-08-10,324.000,328.400,322.400,326.600,11185881,3786436144.000
2023-08-11,325.600,328.400,321.400,322.600,12303930,4141506048.000
2023-08-14,314.800,321.200,314.600,320.000,15754526,5226439936.000
2023-08-15,318.000,321.800,317.400,319.400,10787439,3587997392.000
2023-08-16,316.600,317.800,314.400,315.600,16484843,5424343808.000
2023-08-17,307.400,322.600,307.400,319.600,28817958,9486311424.000
2023-08-18,316.200,319.600,311.800,311.800,18108794,5944608768.000
2023-08-21,307.800,312.600,304.800,304.800,25696855,8249693184.000
2023-08-22,305.000,311.400,301.200,305.800,24679965,7873317632.000
2023-08-23,306.800,308.200,303.800,304.800,17244848,5498780416.000
2023-08-24,307.800,314.800,307.800,312.000,22340826,7249199360.000
2023-08-25,309.400,310.600,306.800,306.800,12542511,4032148400.000
2023-08-28,317.400,320.400,311.600,312.000,19402834,6356409856.000
2023-08-29,312.200,318.800,312.200,316.200,15382479,5067422720.000
2023-08-30,320.600,320.800,311.800,312.600,15190035,4992667648.000
2023-08-31,317.800,318.600,308.800,311.800,49737237,16198347008.000
2023-09-04,316.800,321.400,315.200,320.200,30748869,10160809728.000
2023-09-05,318.800,321.800,314.200,315.800,13250752,4370874368.000
2023-09-06,315.800,315.800,310.000,314.400,16488562,5381303808.000
2023-09-07,313.400,314.000,307.000,308.400,16724228,5391223808.000
2023-09-11,302.200,312.200,302.200,310.800,18808064,6040944640.000
2023-09-12,314.800,314.800,306.600,308.800,10399333,3355116160.000
2023-09-13,312.800,312.800,305.800,307.000,10662703,3421558272.000
2023-09-14,309.200,309.400,305.200,306.600,10153112,3249440576.000
2023-09-15,306.800,308.600,303.800,304.000,19218155,6120466176.000
2023-09-18,304.000,305.800,299.000,299.000,14736625,4644323072.000
2023-09-19,299.600,301.600,295.600,299.200,15579978,4858993920.000
2023-09-20,299.400,299.400,294.800,296.000,13663748,4232881520.000
2023-09-21,293.600,295.200,288.800,289.800,19116385,5800506624.000
2023-09-22,288.800,300.800,287.000,300.400,21236877,6532964096.000
2023-09-25,298.200,298.400,290.000,291.200,18307015,5598702592.000
2023-09-26,287.800,290.400,285.000,286.800,15924558,4792868864.000
2023-09-27,284.800,291.000,284.800,288.800,14203461,4279249840.000
2023-09-28,288.600,289.400,283.200,284.200,15604031,4656643840.000
2023-09-29,284.400,295.200,284.000,293.000,11252646,3427495232.000
2023-10-03,288.800,288.800,283.200,287.400,15122710,4529560064.000
2023-10-04,286.600,286.800,282.200,284.400,10942209,3255192432.000
2023-10-05,286.600,290.400,285.400,286.600,10801914,3248496144.000
2023-10-06,290.600,294.200,288.600,292.000,11076858,3377586512.000
2023-10-09,292.200,295.600,288.800,293.800,11396304,3494379456.000
2023-10-10,294.800,301.600,292.800,295.000,16445252,5092537856.000
2023-10-11,300.800,301.400,297.200,297.800,16424531,5127315968.000
2023-10-12,303.400,304.000,301.600,303.400,13451541,4253651024.000
2023-10-13,299.600,299.800,292.200,293.600,13367440,4126234800.000
2023-10-16,295.600,295.600,287.000,288.000,12452816,3763941344.000
2023-10-17,291.400,291.400,286.800,289.000,9202480,2778330480.000
2023-10-18,287.000,288.400,284.200,286.800,12001017,3597465824.000
2023-10-19,282.200,284.400,278.000,278.000,17216427,5071175680.000
2023-10-20,274.200,277.000,273.000,275.800,19212180,5532516608.000
2023-10-24,273.800,276.600,269.400,269.800,21619960,6162879488.000
2023-10-25,279.200,283.200,272.000,274.600,17506229,5096837120.000
2023-10-26,273.600,277.000,269.800,274.400,11446711,3278486896.000
2023-10-27,274.400,281.400,273.800,279.600,16455031,4795573248.000
2023-10-30,278.400,284.600,277.600,282.200,14357754,4228011952.000
2023-10-31,282.200,282.200,274.800,276.000,13727382,3984600480.000
2023-11-01,275.600,276.800,271.200,273.800,11006036,3157915344.000
2023-11-02,276.800,281.000,273.600,275.400,10477412,3037345200.000
2023-11-03,279.000,291.000,278.200,289.400,21575201,6455647488.000
2023-11-06,296.600,301.000,294.000,299.400,26863379,8358214400.000
2023-11-07,299.400,300.800,293.000,295.400,13397743,4143070768.000
2023-11-08,296.200,301.400,294.200,295.200,12879809,4001595296.000
2023-11-09,291.800,295.600,291.800,293.600,10272208,3148081936.000
2023-11-10,291.400,291.400,288.000,289.600,9871831,2987541088.000
2023-11-13,289.000,298.600,287.000,296.600,13586029,4154169984.000
2023-11-14,298.600,298.800,292.400,294.600,12477388,3842261216.000
2023-11-15,303.400,310.400,300.800,309.400,32454690,10350835968.000
2023-11-16,316.800,316.800,303.000,311.600,35296026,11408055296.000
2023-11-17,310.400,310.400,300.000,302.000,21970164,6964405248.000
2023-11-20,303.000,315.600,303.000,313.400,27782719,9006002432.000
2023-11-21,317.200,319.400,310.400,311.600,24188659,7943866880.000
2023-11-22,314.800,316.800,308.800,311.200,14169841,4616781568.000
2023-11-23,313.400,316.400,310.400,316.000,14531153,4757635328.000
2023-11-24,316.400,316.400,306.800,308.000,15236522,4930730496.000
2023-11-27,311.800,311.800,304.800,309.600,12232068,3932052880.000
2023-11-28,311.200,311.200,303.800,306.400,15153725,4845979136.000
2023-11-29,309.800,310.800,300.400,303.800,16856744,5350806016.000
2023-11-30,304.200,313.800,303.800,313.800,30308092,9825334784.000
2023-12-01,311.600,312.600,305.800,305.800,15149684,4879489536.000
2023-12-04,309.800,311.000,302.000,303.600,14907238,4757921280.000
2023-12-05,307.800,307.800,291.800,295.600,23730039,7365272832.000
2023-12-06,293.400,301.600,289.200,298.400,15896242,4923099392.000
2023-12-07,295.800,298.000,290.800,294.600,13703651,4202919808.000
2023-12-08,294.200,296.000,287.800,292.400,16600566,5058680832.000
2023-12-11,287.600,295.400,285.200,294.000,18402157,5572601600.000
2023-12-12,293.800,298.600,293.000,298.200,12995914,4023372816.000
2023-12-13,296.400,297.600,291.200,293.800,14145125,4349541632.000
2023-12-14,296.800,300.800,291.400,293.200,17198776,5291009792.000
2023-12-15,297.800,306.200,295.800,301.200,30917917,9741462272.000
2023-12-18,296.400,299.400,296.400,298.400,12094993,3761863744.000
2023-12-19,297.800,301.200,293.400,298.600,12530326,3892814256.000
2023-12-20,303.000,305.000,299.000,301.000,14187408,4471236352.000
2023-12-21,296.000,300.400,295.800,299.400,10167030,3167141136.000
2023-12-22,303.800,303.800,250.400,260.800,147014902,40572370944.000
2023-12-27,269.000,277.800,269.000,271.800,64471032,18422333184.000
2023-12-28,271.800,282.400,271.600,279.800,37840686,10982107904.000
2023-12-29,281.800,282.600,276.400,280.400,19624685,5748957696.000
2024-01-02,286.800,291.800,281.200,283.400,23354069,6962383872.000
2024-01-03,280.800,288.400,279.200,287.400,20391718,6085147392.000
2024-01-04,291.200,291.200,284.800,285.600,20217430,6060645120.000
2024-01-05,282.200,283.400,276.400,279.000,23745017,6955882240.000
2024-01-08,281.200,281.400,272.000,274.800,16718452,4808945664.000
2024-01-09,272.800,276.000,270.200,270.400,16927478,4836417280.000
2024-01-10,268.800,272.000,263.600,267.000,19146068,5366550784.000
2024-01-11,267.400,279.200,266.800,274.200,20604580,5923778816.000
2024-01-12,272.400,279.800,271.600,275.200,15770055,4564846592.000
2024-01-15,276.800,280.600,274.400,276.200,16334371,4735733248.000
2024-01-16,270.600,275.600,266.800,269.200,22236094,6296367872.000
2024-01-17,263.800,265.600,259.000,261.400,36114167,9920052480.000
2024-01-18,261.400,266.000,258.000,264.400,24604079,6776282624.000
2024-01-19,261.800,269.400,255.000,258.000,26897479,7357692928.000
2024-01-22,257.400,258.400,247.000,249.000,33654810,8880717568.000
2024-01-23,253.600,265.000,250.000,258.800,35610787,9683595264.000
2024-01-24,266.400,271.200,259.000,268.600,33863638,9417935616.000
2024-01-25,271.800,278.800,267.600,277.600,34160783,9841462528.000
2024-01-26,275.000,277.000,268.000,269.600,24815795,7079875584.000
2024-01-29,272.800,275.200,266.200,268.800,20159014,5699930880.000
2024-01-30,264.000,266.800,259.800,260.600,21505998,5913403648.000
2024-01-31,260.600,264.800,255.200,257.400,20052974,5438242048.000
2024-02-01,256.800,264.600,254.800,258.400,17329472,4720877824.000
2024-02-02,271.400,274.400,261.800,266.200,31053753,8741240832.000
2024-02-05,265.200,270.200,260.600,266.400,20456590,5693719808.000
2024-02-06,266.600,279.400,266.400,277.600,28856902,8307954176.000
2024-02-07,281.800,283.800,275.600,279.000,26343654,7718411776.000
2024-02-08,276.800,280.000,273.200,274.000,17910672,5168657408.000
2024-02-09,271.400,274.200,268.200,274.000,6732059,1913725600.000
2024-02-14,273.800,278.000,268.800,276.800,11567444,3330238320.000
2024-02-15,275.400,276.800,271.800,272.200,12568028,3601580016.000
2024-02-16,272.400,278.600,267.200,278.600,17215356,4948591616.000
2024-02-19,278.200,278.200,270.600,271.600,15415304,4415094272.000
2024-02-20,273.800,274.600,267.200,271.000,15773028,4459365120.000
2024-02-21,267.600,281.400,267.600,275.600,23947218,6932698624.000
2024-02-22,275.000,278.200,273.600,278.200,12441270,3603265888.000
2024-02-23,276.800,283.200,273.800,277.600,13229798,3842413520.000
2024-02-26,274.200,277.000,272.200,274.000,12412426,3559023840.000
2024-02-27,273.000,273.000,265.000,271.400,23612599,6662498560.000
2024-02-28,271.800,272.600,263.200,263.800,25903478,7245008384.000
2024-02-29,262.000,265.800,261.400,264.000,29721885,8231584512.000
2024-03-01,259.800,265.800,258.600,264.200,27952651,7713358080.000
2024-03-04,264.200,266.800,261.600,263.000,13832089,3823469216.000
2024-03-05,257.000,260.000,253.000,255.000,26055083,7021429248.000
2024-03-06,252.800,263.800,252.600,261.400,23289346,6357883392.000
2024-03-07,261.600,262.400,256.000,257.800,17159729,4665844736.000
2024-03-08,258.800,262.400,256.800,256.800,12416156,3380545328.000
2024-03-11,258.000,265.400,258.000,265.400,17866889,4936584704.000
2024-03-12,268.800,279.400,267.000,277.600,36531141,10506831872.000
2024-03-13,278.200,280.800,275.400,277.400,20074418,5850784512.000
2024-03-14,276.200,280.800,273.600,276.000,14227432,4114240448.000
2024-03-15,269.800,273.000,266.400,270.600,29183023,8265577728.000
2024-03-18,269.000,278.200,269.000,276.600,19633305,5654374656.000
2024-03-19,275.800,278.000,271.800,271.800,15635351,4493812224.000
2024-03-20,272.200,277.000,269.800,275.600,15622235,4499879168.000
2024-03-21,282.000,285.000,276.400,278.000,36868686,10838694400.000
2024-03-22,274.200,277.200,269.200,275.600,26432205,7578583808.000
2024-03-25,275.600,277.400,271.800,275.400,21127168,6091144960.000
2024-03-26,272.800,287.400,272.800,286.200,33998571,10047178496.000
2024-03-27,282.800,294.400,282.600,288.800,38753084,11767791360.000
2024-03-28,288.800,296.400,288.200,290.600,30000843,9153818112.000
2024-04-02,295.800,299.200,294.600,296.000,26561604,8219109376.000
2024-04-03,298.800,298.800,293.200,295.200,19696947,6080044288.000
2024-04-05,296.400,298.400,291.200,296.800,13582369,4191612736.000
2024-04-08,292.000,297.800,291.200,292.200,21656541,6642553856.000
2024-04-09,294.200,295.600,289.800,291.800,17879375,5461280512.000
2024-04-10,293.200,302.000,293.200,301.000,24730145,7718210048.000
2024-04-11,296.600,303.400,295.800,301.800,18834968,5912379648.000
2024-04-12,300.800,304.800,296.200,296.400,23031342,7201400832.000
2024-04-15,291.400,295.600,290.600,291.200,18295291,5593339136.000
2024-04-16,288.000,295.200,286.800,288.600,19691636,5979714048.000
2024-04-17,288.600,290.800,284.600,287.600,14410544,4332377088.000
2024-04-18,289.000,295.600,285.400,291.200,19058907,5817112832.000
2024-04-19,290.200,292.200,286.400,290.600,19472600,5891457536.000
2024-04-22,294.800,309.400,293.600,307.200,41133325,13065634048.000
2024-04-23,312.800,320.400,312.000,319.200,43821652,14443015936.000
2024-04-24,324.600,331.800,322.200,331.000,41472682,14131709440.000
2024-04-25,327.000,333.200,323.200,326.200,27727556,9447179520.000
2024-04-26,326.800,338.600,326.800,335.200,29599531,10298055680.000
2024-04-29,335.200,341.600,332.000,334.400,25416523,8909313792.000
2024-04-30,336.400,337.600,330.800,334.000,15957023,5549476352.000
2024-05-02,335.800,348.000,332.200,347.200,22479610,8048229632.000
2024-05-03,357.800,359.400,347.400,351.200,23592345,8612647936.000
2024-05-06,351.400,359.800,349.800,357.000,26208326,9662184960.000
2024-05-07,354.200,358.000,350.200,352.600,19408056,7119649536.000
2024-05-08,353.200,358.600,346.600,348.200,20058148,7307654400.000
2024-05-09,347.800,356.800,347.200,356.600,16026030,5882164736.000
2024-05-10,360.600,361.000,351.800,357.800,15693045,5809252096.000
2024-05-13,355.400,366.800,354.800,365.000,20558084,7727774464.000
2024-05-14,367.800,371.600,365.400,368.600,21603101,8251923712.000
2024-05-16,386.800,387.800,381.400,383.800,58430778,23268551936.000
2024-05-17,387.200,390.400,384.400,385.200,27916392,11081611008.000
2024-05-20,387.200,390.000,383.000,385.200,22331961,8829405440.000
2024-05-21,383.600,383.600,369.800,373.800,30679849,11791772160.000
2024-05-22,369.400,377.000,366.800,374.600,22374764,8564093696.000
2024-05-23,370.800,374.200,366.600,372.000,18323988,6982435840.000
2024-05-24,368.400,372.800,365.000,367.200,19143321,7222648064.000
2024-05-27,362.200,367.800,352.600,367.600,32132068,11927773440.000
